id,sen,lab
1288,"Investigations on the effects of low-volume HIIE protocols including a fewer number of work bouts on health status and fitness of less active subjects would be interesting, especially in the first training weeks.",1
1289,The individualized lung cancer modeling can facilitate the evaluation of preoperative risks and allows for more accurate surgical planning.,2
1293,This supports investigation into the potential use of nasal high flow therapy as treatment in viral upper respiratory tract infections.,2
1294,"Using RCT on participatory basis, SMBG with individual dietary counseling was effective in short term.",2
1295,"Based on the theory of dislocation of bone joints in TCM, three kinds of spinal rotation manipulations can be used safely for the treatment of lumbar disc herniation, and the efficacy was similar.",2
1296,"Among adults with septic shock, the early use of vasopressin compared with norepinephrine did not improve the number of kidney failure-free days.",0
1297,Oral Ramosetron 0.1 mg was more effective than placebo in PONV prevention and reduced the incidence of moderate to severe nausea after intrathecal morphine in the first 24 hour after gynecological surgery.,2
1298,ALIF with posterior instrumentation in low grade isthmic spondylolisthesis provides satisfactory outcome in patients requiring surgical treatment.,2
1299,This indicates variability in the ability to use real-time augmented feedback effectively.,2
1300,"The prolonged pharmacodynamic effect of proliposomal ropivacaine, together with its delayed elimination and prolonged redistribution to plasma, is compatible to depot-related slow-release and similar to the performance of other liposomal local anesthetics.",1
1301,"The present study demonstrated that the addition of inspiratory muscle training, even when applied for a short period, may potentiate the effects of combined aerobic and resistance training, becoming a simple and inexpensive strategy for patients who underwent coronary artery bypass and are in phase II cardiac rehabilitation.",2
1303,SIPsmartER is an effective intervention to decrease SSB consumption among adults and is promising for translation into practice settings.,2
1304,"Dose-dependent increases in appendicular lean body mass and decreases in fat mass were observed, although this study did not achieve the threshold of its primary objective.",1
1305,"Conical stone needle on foot combined with Sian anvil at Yintang(GV 29) treating insomnia is safe and effective,and this treatment acquires similar efficacy with less suffering.",2
1306,Close contact casting may be an appropriate treatment for such patients.,1
1307,This study provides modest evidence that rTMS to the l-DLPFC transiently reduces core symptoms of AN and encourages prudent decision making.,2
1308,This suggests that the prevalence of WDTC detected by imaging is not an artifact caused by an increasingly obese population and that any association of WDTC and obesity is not related to the way in which these tumors are detected.,1
1311,"Consumption of milk containing A1 Î²-casein was associated with increased gastrointestinal inflammation, worsening of PD3 symptoms, delayed transit, and decreased cognitive processing speed and accuracy.",0
1315,"The association of GlcN-S and mud-bath therapy has a positive and safe role in improving pain, function and quality of life in knee OA patients.",2
1316,The test-based approach to the management of malaria did not increase the incidence of malaria or anaemia among under-five children in this setting.,2
1317,"Considering both efficacy and safety, colchicine can be prescribed with a once-daily dosage.",1
1318,"The effectiveness of ARM in the prevention of severe epithelitis in patients with HNC treated with RT is, at least, as effective (or more effective) as other and more common skin treatments.",2
1320,"The decoction prepared with of Nicotiana tabacum leaves, used as mouthwash are well-tolerated and safe, and can be used for the management of recurrent aphthous.",2
1322,Partial STARR combined with Bresler procedure in the treatment of ODS associated with rectocele and IRI has better efficacy than STARR only.,2
1323,Propofol-TCI technique is suggested for laparoscopic and ambulatory surgery.,1
1326,"In patients undergoing MCA intravascular stent implantation for ischemic stroke, perioperative intensive statin therapy improves the patients' outcomes, reduces the levels of CRP, VCAM-1 and sCD147 molecules, and lowers the incidences of cerebrovascular events.",2
